"First Name","Last Name","Email Address","Account Name"
"Bugs","Bunny","BugsBunny@merrymelodies.com","Merry Melodies"
"Daffy","Duck","DaffyDuck@merrymelodies.com","Merry Melodies"
"Kermit","The Frog","Kermit@muppetshow.org","The Muppet Show"
"Miss","Piggy","QueenPiggy@muppetshow.org","The Muppet Show"
"Scooby","Doo","scared.dog@mysteriesinc.org","Mysteries Inc"
"Kwicky","Koala","Kwicky.Koala@KwickyKoala.net","The Kwicky Koala Show"
"Rawhide","Clyde","Rawhide.Clyde@KwickyKoala.net","The Kwicky Koala Show"
"Willford","Wolf","Willford.Wolf@KwickyKoala.net","The Kwicky Koala Show"
"Dirty","Dawg","Dirty.Dawg@KwickyKoala.net","The Kwicky Koala Show"
"Crazy","Claws","Crazy.Claws@KwickyKoala.net","The Kwicky Koala Show"
"Ranger","Dangerfeild","Ranger.Dangerfeild@KwickyKoala.net","The Kwicky Koala Show"
"Homer","Simpson","Homer.Simpson@Simpson.org","The Simpsons"
"Marge","Simpson","Marge.Simpson@Simpson.org","The Simpsons"
"Bart","Simpson","Bart.Simpson@Simpson.org","The Simpsons"
"Lisa","Simpson","Lisa.Simpson@Simpson.org","The Simpsons"
"Krusty","Klown","Krusty.Klown@Klown.org","The Simpsons"
"Spongebob","Squarepants","Spongebob.Squarepants@Squarepants.org","Nickelodeon"
"Patrick","Star","Patrick.Star@Star.org","Nickelodeon"
"Yacko","Warner","Yacko.Warner@Warner.org","Warner Brothers"
"Wacko","Warner","Wacko.Warner@Warner.org","Warner Brothers"
"Dot The Cute One","Warner","DotTheCuteOne@Warner.org","Warner Brothers"
"Mario","Bro","Mario.Bro@SuperBros.org","Super Mario Bros."
"Luigi","Bro","Luigi.Bro@SuperBros.org","Super Mario Bros."
"Princess","Peach","Princess.Peach@Peach.org","Super Mario Bros."
"Harry","Potter","Harry.Potter@Potter.org","Harry Potter and Friends"
"Hermine","Grainger","Hermine.Grainger@Grainger.org","Harry Potter and Friends"
"Ron","Weasley","Ron.Weasley@Weasley.org","Harry Potter and Friends"
"Luke","Skywalker","Luke.Skywalker@Skywalker.org","Star Wars, LucasFilms"
"Han","Solo","Han.Solo@Solo.org","Star Wars, LucasFilms"
"Chewbacca","Wookie","Chewbacca.Wookie@Wookie.org","Star Wars, LucasFilms"
"Obi Wan","Kanobi","Obi Wan.Kanobi@Kanobi.org","Star Wars, LucasFilms"
"Master","Yoda","Master.Yoda@Yoda.org","Star Wars, LucasFilms"
"Anakin","Skywalker","Anakin.Skywalker@Skywalker.org","Star Wars, LucasFilms"
"Jar Jar","Binks","Jar Jar.Binks@Binks.org","Star Wars, LucasFilms"
"Ross","Geller","Ross.Geller@Geller.org","Friends"
"Monica","Geller","Monica.Geller@Geller.org","Friends"
"Phoebe","Bufet","Phoebe.Bufet@Bufet.org","Friends"
"Chandler","Bing","Chandler.Bing@Bing.org","Friends"
"Joey","Tribiani","Joey.Tribiani@Tribiani.org","Friends"
"Rachel","Greene","Rachel.Greene@Greene.org","Friends"
"Professor","Plum","Professor.Plum@Plum.org","Clue"
"Colonel","Mustard","Colonel.Mustard@Mustard.org","Clue"
"Miss","Scarlet","Miss.Scarlet@Scarlet.org","Clue"
"Mrs.","White","MrsWhite@White.org","Clue"
"Rev.","Green","RevGreen@Green.net","Clue"
"Mrs.","Peacock","MrsPeacock@Peacock.net","Clue"
"Mr.","Boddy","MrBoddy@doornail.com","Clue"
"Dora","Explorer","Dora the.Explorer@Explorer.org","Explorers, Inc."
"Diego","Explorer","Diego the.Explorer@Explorer.org","Explorers, Inc."
"Boots","Monkey","Boots.Monkey@Monkey.org","Explorers, Inc."
"The","Map","The.Map@Map.org","Explorers, Inc."
"Marty","McFly","Marty.McFly@McFly.org","Back 2 The Future"
"Doc","Brown","Doc.Brown@Brown.org","Back 2 The Future"
"Popeye","Sailor","Popeye the.Sailor@Sailor.org","The Popeye Show"
"Olive","Oyl","Olive.Oyl@Oyl.org","The Popeye Show"
